sample_id,logical_window_id,device,label,spo2_corroborated
4aa18905171d4757_R,4aa18905171d4757,R,0,True
4aa18905171d4757_S,4aa18905171d4757,S,0,True
50c70e1c04313113_R,50c70e1c04313113,R,1,True
50c70e1c04313113_S,50c70e1c04313113,S,1,True
51095b3e31fd99de_R,51095b3e31fd99de,R,0,True
51095b3e31fd99de_S,51095b3e31fd99de,S,0,True
53421af6606bbe02_R,53421af6606bbe02,R,0,True
53421af6606bbe02_S,53421af6606bbe02,S,0,True
557f544552dcac9b_R,557f544552dcac9b,R,1,True
557f544552dcac9b_S,557f544552dcac9b,S,1,True
6392552be423c7e3_R,6392552be423c7e3,R,0,True
6392552be423c7e3_S,6392552be423c7e3,S,0,True
6452d45931ac3cae_R,6452d45931ac3cae,R,0,True
6452d45931ac3cae_S,6452d45931ac3cae,S,0,True
66199f8bb1c641f4_R,66199f8bb1c641f4,R,1,False
66199f8bb1c641f4_S,66199f8bb1c641f4,S,1,False
6a6f2a430f8a4d0b_R,6a6f2a430f8a4d0b,R,1,False
6a6f2a430f8a4d0b_S,6a6f2a430f8a4d0b,S,1,False
6b4cf9f249d5efe7_R,6b4cf9f249d5efe7,R,0,True
6b4cf9f249d5efe7_S,6b4cf9f249d5efe7,S,0,True
800d839e26d0262c_R,800d839e26d0262c,R,1,False
800d839e26d0262c_S,800d839e26d0262c,S,1,False
829c89bc10bd1a69_R,829c89bc10bd1a69,R,1,True
829c89bc10bd1a69_S,829c89bc10bd1a69,S,1,True
8fde804b48b4c7fe_R,8fde804b48b4c7fe,R,0,True
8fde804b48b4c7fe_S,8fde804b48b4c7fe,S,0,True
90949e49e623117a_R,90949e49e623117a,R,1,True
90949e49e623117a_S,90949e49e623117a,S,1,True
95c07b4271bf8964_R,95c07b4271bf8964,R,0,True
95c07b4271bf8964_S,95c07b4271bf8964,S,0,True
9724389c65c1223f_R,9724389c65c1223f,R,1,False
9724389c65c1223f_S,9724389c65c1223f,S,1,False
9756fa6fdec53a02_R,9756fa6fdec53a02,R,1,True
9756fa6fdec53a02_S,9756fa6fdec53a02,S,1,True
99f37b820ac33023_R,99f37b820ac33023,R,0,True
99f37b820ac33023_S,99f37b820ac33023,S,0,True
9d3e71a947fcf632_R,9d3e71a947fcf632,R,0,True
9d3e71a947fcf632_S,9d3e71a947fcf632,S,0,True
9dccdcf52f5d585a_R,9dccdcf52f5d585a,R,0,True
9dccdcf52f5d585a_S,9dccdcf52f5d585a,S,0,True
a1b88beb644a3713_R,a1b88beb644a3713,R,1,True
a1b88beb644a3713_S,a1b88beb644a3713,S,1,True
aa30218122b24886_R,aa30218122b24886,R,1,True
aa30218122b24886_S,aa30218122b24886,S,1,True
b0181f12b46f17fa_R,b0181f12b46f17fa,R,0,True
b0181f12b46f17fa_S,b0181f12b46f17fa,S,0,True
b62108fc163de08a_R,b62108fc163de08a,R,0,True
b62108fc163de08a_S,b62108fc163de08a,S,0,True
b818cce777cb9b01_R,b818cce777cb9b01,R,1,True
b818cce777cb9b01_S,b818cce777cb9b01,S,1,True
bd99c819ebf0b403_R,bd99c819ebf0b403,R,0,True
bd99c819ebf0b403_S,bd99c819ebf0b403,S,0,True
bec7d3095a697997_R,bec7d3095a697997,R,0,True
bec7d3095a697997_S,bec7d3095a697997,S,0,True
bf9a2e56306ceb30_R,bf9a2e56306ceb30,R,1,False
bf9a2e56306ceb30_S,bf9a2e56306ceb30,S,1,False
c7d5bc81a67a8ae0_R,c7d5bc81a67a8ae0,R,1,True
c7d5bc81a67a8ae0_S,c7d5bc81a67a8ae0,S,1,True
c9d4ebdab059c991_R,c9d4ebdab059c991,R,0,True
c9d4ebdab059c991_S,c9d4ebdab059c991,S,0,True
ce2eb123ff5344cd_R,ce2eb123ff5344cd,R,0,True
ce2eb123ff5344cd_S,ce2eb123ff5344cd,S,0,True
d3537981b5b73b19_R,d3537981b5b73b19,R,1,True
d3537981b5b73b19_S,d3537981b5b73b19,S,1,True
d5e4106cca42a451_R,d5e4106cca42a451,R,0,True
d5e4106cca42a451_S,d5e4106cca42a451,S,0,True
d72842631568f728_R,d72842631568f728,R,1,False
d72842631568f728_S,d72842631568f728,S,1,False
ddbcc90a18c676d3_R,ddbcc90a18c676d3,R,1,True
ddbcc90a18c676d3_S,ddbcc90a18c676d3,S,1,True
ec23e1a41d94f1ec_R,ec23e1a41d94f1ec,R,0,True
ec23e1a41d94f1ec_S,ec23e1a41d94f1ec,S,0,True
eea69ecf1e5602f9_R,eea69ecf1e5602f9,R,1,True
eea69ecf1e5602f9_S,eea69ecf1e5602f9,S,1,True
eeaad43bd4b29e0e_R,eeaad43bd4b29e0e,R,1,False
eeaad43bd4b29e0e_S,eeaad43bd4b29e0e,S,1,False
ef81650acae3cb70_R,ef81650acae3cb70,R,1,True
ef81650acae3cb70_S,ef81650acae3cb70,S,1,True
f722552a9d755d4f_R,f722552a9d755d4f,R,1,False
f722552a9d755d4f_S,f722552a9d755d4f,S,1,False
fae059f4d34e5a89_R,fae059f4d34e5a89,R,0,True
fae059f4d34e5a89_S,fae059f4d34e5a89,S,0,True
fb93f5c9508acbf4_R,fb93f5c9508acbf4,R,0,True
fb93f5c9508acbf4_S,fb93f5c9508acbf4,S,0,True
fe41f483de5e8bea_R,fe41f483de5e8bea,R,0,True
fe41f483de5e8bea_S,fe41f483de5e8bea,S,0,True
0046441a4e13e542_R,0046441a4e13e542,R,0,True
0046441a4e13e542_S,0046441a4e13e542,S,0,True
0095f6bcbdbd2b9a_R,0095f6bcbdbd2b9a,R,0,True
0095f6bcbdbd2b9a_S,0095f6bcbdbd2b9a,S,0,True
0098b4abf77cbf89_R,0098b4abf77cbf89,R,1,True
0098b4abf77cbf89_S,0098b4abf77cbf89,S,1,True
017493a036f9d964_R,017493a036f9d964,R,0,True
017493a036f9d964_S,017493a036f9d964,S,0,True
01752788a02409a9_R,01752788a02409a9,R,1,True
01752788a02409a9_S,01752788a02409a9,S,1,True
01c3abcc87b31041_R,01c3abcc87b31041,R,1,True
01c3abcc87b31041_S,01c3abcc87b31041,S,1,True
01feae7dd25c78e8_R,01feae7dd25c78e8,R,0,True
01feae7dd25c78e8_S,01feae7dd25c78e8,S,0,True
020424c31f7e57c3_R,020424c31f7e57c3,R,0,True
020424c31f7e57c3_S,020424c31f7e57c3,S,0,True
020f8926f7aedaf9_R,020f8926f7aedaf9,R,0,True
020f8926f7aedaf9_S,020f8926f7aedaf9,S,0,True
023fa8a6ce9f6b41_R,023fa8a6ce9f6b41,R,0,True
023fa8a6ce9f6b41_S,023fa8a6ce9f6b41,S,0,True
0252ab33bdddffc5_R,0252ab33bdddffc5,R,1,True
0252ab33bdddffc5_S,0252ab33bdddffc5,S,1,True
02771e77ce391a54_R,02771e77ce391a54,R,1,True
02771e77ce391a54_S,02771e77ce391a54,S,1,True
0287699e9ee545fd_R,0287699e9ee545fd,R,1,True
0287699e9ee545fd_S,0287699e9ee545fd,S,1,True
02b0f70ef8981061_R,02b0f70ef8981061,R,1,True
02b0f70ef8981061_S,02b0f70ef8981061,S,1,True
0348ee6c9761a55e_R,0348ee6c9761a55e,R,0,True
0348ee6c9761a55e_S,0348ee6c9761a55e,S,0,True
0434e7b49f9b3fa8_R,0434e7b49f9b3fa8,R,1,True
0434e7b49f9b3fa8_S,0434e7b49f9b3fa8,S,1,True
04538378bf1b5677_R,04538378bf1b5677,R,0,True
04538378bf1b5677_S,04538378bf1b5677,S,0,True
046c80a3f5e64afb_R,046c80a3f5e64afb,R,0,True
046c80a3f5e64afb_S,046c80a3f5e64afb,S,0,True
049a937a7bdb03b7_R,049a937a7bdb03b7,R,0,True
049a937a7bdb03b7_S,049a937a7bdb03b7,S,0,True
04a821da8abc5393_R,04a821da8abc5393,R,0,True
04a821da8abc5393_S,04a821da8abc5393,S,0,True
05240fbbcc58ee0f_R,05240fbbcc58ee0f,R,0,True
05240fbbcc58ee0f_S,05240fbbcc58ee0f,S,0,True
05387dda4dea189e_R,05387dda4dea189e,R,1,True
05387dda4dea189e_S,05387dda4dea189e,S,1,True
056c62f5b6d3c6fb_R,056c62f5b6d3c6fb,R,1,True
056c62f5b6d3c6fb_S,056c62f5b6d3c6fb,S,1,True
058556731920b766_R,058556731920b766,R,1,True
058556731920b766_S,058556731920b766,S,1,True
05bce85b1681ce49_R,05bce85b1681ce49,R,1,True
05bce85b1681ce49_S,05bce85b1681ce49,S,1,True
063944c35c48f4b7_R,063944c35c48f4b7,R,1,True
063944c35c48f4b7_S,063944c35c48f4b7,S,1,True
07348662fad101d6_R,07348662fad101d6,R,1,True
07348662fad101d6_S,07348662fad101d6,S,1,True
0818c7045a32ed91_R,0818c7045a32ed91,R,1,True
0818c7045a32ed91_S,0818c7045a32ed91,S,1,True
084c3d7a1e75aada_R,084c3d7a1e75aada,R,1,True
084c3d7a1e75aada_S,084c3d7a1e75aada,S,1,True
0939faf24dbf0fe7_R,0939faf24dbf0fe7,R,0,True
0939faf24dbf0fe7_S,0939faf24dbf0fe7,S,0,True
0944a93458e60be6_R,0944a93458e60be6,R,0,True
0944a93458e60be6_S,0944a93458e60be6,S,0,True
09467c10b46171de_R,09467c10b46171de,R,0,True
09467c10b46171de_S,09467c10b46171de,S,0,True
098941e5d11540c9_R,098941e5d11540c9,R,1,True
098941e5d11540c9_S,098941e5d11540c9,S,1,True
0a48a0fbafeee9cd_R,0a48a0fbafeee9cd,R,0,True
0a48a0fbafeee9cd_S,0a48a0fbafeee9cd,S,0,True
0a7cc3722320f40f_R,0a7cc3722320f40f,R,0,True
0a7cc3722320f40f_S,0a7cc3722320f40f,S,0,True
0ad3f1da620c8dfd_R,0ad3f1da620c8dfd,R,0,True
0ad3f1da620c8dfd_S,0ad3f1da620c8dfd,S,0,True
0b5ddbafbbfea6f1_R,0b5ddbafbbfea6f1,R,1,True
0b5ddbafbbfea6f1_S,0b5ddbafbbfea6f1,S,1,True
0ca5ff786619b74a_R,0ca5ff786619b74a,R,0,True
0ca5ff786619b74a_S,0ca5ff786619b74a,S,0,True
0db341fe35ba9cb5_R,0db341fe35ba9cb5,R,1,True
0db341fe35ba9cb5_S,0db341fe35ba9cb5,S,1,True
0de2e3e585996aab_R,0de2e3e585996aab,R,1,True
0de2e3e585996aab_S,0de2e3e585996aab,S,1,True
0f082813f368626d_R,0f082813f368626d,R,0,True
0f082813f368626d_S,0f082813f368626d,S,0,True
0f4f2e5184aac188_R,0f4f2e5184aac188,R,1,True
0f4f2e5184aac188_S,0f4f2e5184aac188,S,1,True
1018a638160ee3ad_R,1018a638160ee3ad,R,0,True
1018a638160ee3ad_S,1018a638160ee3ad,S,0,True
105bb2e93ab2767a_R,105bb2e93ab2767a,R,1,True
105bb2e93ab2767a_S,105bb2e93ab2767a,S,1,True
10a7e4eedf7d0e39_R,10a7e4eedf7d0e39,R,1,True
10a7e4eedf7d0e39_S,10a7e4eedf7d0e39,S,1,True
111ff77db0ac3b84_R,111ff77db0ac3b84,R,0,True
111ff77db0ac3b84_S,111ff77db0ac3b84,S,0,True
1123679130896ce3_R,1123679130896ce3,R,0,True
1123679130896ce3_S,1123679130896ce3,S,0,True
115f61b43866e2ce_R,115f61b43866e2ce,R,0,True
115f61b43866e2ce_S,115f61b43866e2ce,S,0,True
117559d2f8ac4e81_R,117559d2f8ac4e81,R,0,True
117559d2f8ac4e81_S,117559d2f8ac4e81,S,0,True
11f8d59723ecf77a_R,11f8d59723ecf77a,R,1,True
11f8d59723ecf77a_S,11f8d59723ecf77a,S,1,True
120b664ec19ce41f_R,120b664ec19ce41f,R,1,True
120b664ec19ce41f_S,120b664ec19ce41f,S,1,True
1240e6280725ad75_R,1240e6280725ad75,R,1,True
1240e6280725ad75_S,1240e6280725ad75,S,1,True
133e63fcf90b485c_R,133e63fcf90b485c,R,1,True
133e63fcf90b485c_S,133e63fcf90b485c,S,1,True
13681c4e52349bef_R,13681c4e52349bef,R,1,True
13681c4e52349bef_S,13681c4e52349bef,S,1,True
13a26582f2ee5ac6_R,13a26582f2ee5ac6,R,0,True
13a26582f2ee5ac6_S,13a26582f2ee5ac6,S,0,True
143b4285943aed46_R,143b4285943aed46,R,1,True
143b4285943aed46_S,143b4285943aed46,S,1,True
1440e22888c74d54_R,1440e22888c74d54,R,0,True
1440e22888c74d54_S,1440e22888c74d54,S,0,True
14cd7018793dacac_R,14cd7018793dacac,R,1,True
14cd7018793dacac_S,14cd7018793dacac,S,1,True
167dc2db62ec45e4_R,167dc2db62ec45e4,R,0,True
167dc2db62ec45e4_S,167dc2db62ec45e4,S,0,True
16903e9aa9b11fe5_R,16903e9aa9b11fe5,R,1,True
16903e9aa9b11fe5_S,16903e9aa9b11fe5,S,1,True
16974f2f20134424_R,16974f2f20134424,R,0,True
16974f2f20134424_S,16974f2f20134424,S,0,True
16d6dab7eb60f0e1_R,16d6dab7eb60f0e1,R,1,True
16d6dab7eb60f0e1_S,16d6dab7eb60f0e1,S,1,True
188381ecb0c737cd_R,188381ecb0c737cd,R,1,True
188381ecb0c737cd_S,188381ecb0c737cd,S,1,True
1924efebcd1e4e47_R,1924efebcd1e4e47,R,0,True
1924efebcd1e4e47_S,1924efebcd1e4e47,S,0,True
1947fa53240daf07_R,1947fa53240daf07,R,1,True
1947fa53240daf07_S,1947fa53240daf07,S,1,True
1995dc0642d62294_R,1995dc0642d62294,R,1,True
1995dc0642d62294_S,1995dc0642d62294,S,1,True
199729d5083f40cd_R,199729d5083f40cd,R,1,True
199729d5083f40cd_S,199729d5083f40cd,S,1,True
19d89cf7811586c4_R,19d89cf7811586c4,R,1,True
19d89cf7811586c4_S,19d89cf7811586c4,S,1,True
19dca38fb591dfd6_R,19dca38fb591dfd6,R,1,False
19dca38fb591dfd6_S,19dca38fb591dfd6,S,1,False
19fe44314a6ad229_R,19fe44314a6ad229,R,1,True
19fe44314a6ad229_S,19fe44314a6ad229,S,1,True
1a1304729f0c8a20_R,1a1304729f0c8a20,R,1,True
1a1304729f0c8a20_S,1a1304729f0c8a20,S,1,True
1a39d032f601d951_R,1a39d032f601d951,R,1,False
1a39d032f601d951_S,1a39d032f601d951,S,1,False
1a9e87df4979ba0d_R,1a9e87df4979ba0d,R,0,True
1a9e87df4979ba0d_S,1a9e87df4979ba0d,S,0,True
1ae64655e6da043f_R,1ae64655e6da043f,R,0,True
1ae64655e6da043f_S,1ae64655e6da043f,S,0,True
1af3b40b4b4bbf33_R,1af3b40b4b4bbf33,R,0,True
1af3b40b4b4bbf33_S,1af3b40b4b4bbf33,S,0,True
1b93026ed46c7e5e_R,1b93026ed46c7e5e,R,0,True
1b93026ed46c7e5e_S,1b93026ed46c7e5e,S,0,True
1bab1a257d2ce736_R,1bab1a257d2ce736,R,1,True
1bab1a257d2ce736_S,1bab1a257d2ce736,S,1,True
1c14fe3f18554fa6_R,1c14fe3f18554fa6,R,0,True
1c14fe3f18554fa6_S,1c14fe3f18554fa6,S,0,True
1c17285c87da6cd8_R,1c17285c87da6cd8,R,0,True
1c17285c87da6cd8_S,1c17285c87da6cd8,S,0,True
1d777df5b5f71dd4_R,1d777df5b5f71dd4,R,0,True
1d777df5b5f71dd4_S,1d777df5b5f71dd4,S,0,True
1e0397c12a95360b_R,1e0397c12a95360b,R,1,True
1e0397c12a95360b_S,1e0397c12a95360b,S,1,True
1f0c4d46f5e15510_R,1f0c4d46f5e15510,R,0,True
1f0c4d46f5e15510_S,1f0c4d46f5e15510,S,0,True
1f19dfd73a1581fa_R,1f19dfd73a1581fa,R,0,True
1f19dfd73a1581fa_S,1f19dfd73a1581fa,S,0,True
1fa218c3facce29a_R,1fa218c3facce29a,R,0,True
1fa218c3facce29a_S,1fa218c3facce29a,S,0,True
202c0cc310d3c481_R,202c0cc310d3c481,R,1,True
202c0cc310d3c481_S,202c0cc310d3c481,S,1,True
20d3db9cd23d68ee_R,20d3db9cd23d68ee,R,0,True
20d3db9cd23d68ee_S,20d3db9cd23d68ee,S,0,True
20d5f9cbed5023c2_R,20d5f9cbed5023c2,R,1,True
20d5f9cbed5023c2_S,20d5f9cbed5023c2,S,1,True
211eb049f2407121_R,211eb049f2407121,R,1,True
211eb049f2407121_S,211eb049f2407121,S,1,True
21456ed414bb0906_R,21456ed414bb0906,R,0,True
21456ed414bb0906_S,21456ed414bb0906,S,0,True
2249f4a4abcf5f07_R,2249f4a4abcf5f07,R,1,True
2249f4a4abcf5f07_S,2249f4a4abcf5f07,S,1,True
2360e7dfcd81c89b_R,2360e7dfcd81c89b,R,1,True
2360e7dfcd81c89b_S,2360e7dfcd81c89b,S,1,True
237fc8eada2d25ec_R,237fc8eada2d25ec,R,0,True
237fc8eada2d25ec_S,237fc8eada2d25ec,S,0,True
243cafad8344ed01_R,243cafad8344ed01,R,1,True
243cafad8344ed01_S,243cafad8344ed01,S,1,True
2440fd891f6b33cd_R,2440fd891f6b33cd,R,0,True
2440fd891f6b33cd_S,2440fd891f6b33cd,S,0,True
248f97945c65a44d_R,248f97945c65a44d,R,0,True
248f97945c65a44d_S,248f97945c65a44d,S,0,True
24c6c6e9a94d63e6_R,24c6c6e9a94d63e6,R,1,True
24c6c6e9a94d63e6_S,24c6c6e9a94d63e6,S,1,True
24f1c838116c45bf_R,24f1c838116c45bf,R,0,True
24f1c838116c45bf_S,24f1c838116c45bf,S,0,True
25281bd00c033534_R,25281bd00c033534,R,1,True
25281bd00c033534_S,25281bd00c033534,S,1,True
253cd4af6ff71872_R,253cd4af6ff71872,R,0,True
253cd4af6ff71872_S,253cd4af6ff71872,S,0,True
265b0c68d7f94e05_R,265b0c68d7f94e05,R,0,True
265b0c68d7f94e05_S,265b0c68d7f94e05,S,0,True
26c7f26d0a5b0046_R,26c7f26d0a5b0046,R,0,True
26c7f26d0a5b0046_S,26c7f26d0a5b0046,S,0,True
2796f71ec8e68e97_R,2796f71ec8e68e97,R,0,True
2796f71ec8e68e97_S,2796f71ec8e68e97,S,0,True
2799fc9eac96dfe2_R,2799fc9eac96dfe2,R,1,True
2799fc9eac96dfe2_S,2799fc9eac96dfe2,S,1,True
2825e1836f657b90_R,2825e1836f657b90,R,1,True
2825e1836f657b90_S,2825e1836f657b90,S,1,True
28d7db3d8c9d52ac_R,28d7db3d8c9d52ac,R,0,True
28d7db3d8c9d52ac_S,28d7db3d8c9d52ac,S,0,True
28f4096e99ad9b2f_R,28f4096e99ad9b2f,R,1,True
28f4096e99ad9b2f_S,28f4096e99ad9b2f,S,1,True
2933a5e59d244aba_R,2933a5e59d244aba,R,0,True
2933a5e59d244aba_S,2933a5e59d244aba,S,0,True
298c02e7f3576024_R,298c02e7f3576024,R,0,True
298c02e7f3576024_S,298c02e7f3576024,S,0,True
29ca417261ca057f_R,29ca417261ca057f,R,0,True
29ca417261ca057f_S,29ca417261ca057f,S,0,True
29d6b315b9421885_R,29d6b315b9421885,R,1,True
29d6b315b9421885_S,29d6b315b9421885,S,1,True
2a40a30264f82f7b_R,2a40a30264f82f7b,R,1,True
2a40a30264f82f7b_S,2a40a30264f82f7b,S,1,True
2ab09dac315d2ac7_R,2ab09dac315d2ac7,R,0,True
2ab09dac315d2ac7_S,2ab09dac315d2ac7,S,0,True
2c9f16f57bac18a6_R,2c9f16f57bac18a6,R,0,True
2c9f16f57bac18a6_S,2c9f16f57bac18a6,S,0,True
2db145deffa4dc56_R,2db145deffa4dc56,R,0,True
2db145deffa4dc56_S,2db145deffa4dc56,S,0,True
2e07b74a2f29b981_R,2e07b74a2f29b981,R,1,True
2e07b74a2f29b981_S,2e07b74a2f29b981,S,1,True
2e99f476f63eb3fd_R,2e99f476f63eb3fd,R,0,True
2e99f476f63eb3fd_S,2e99f476f63eb3fd,S,0,True
2eadbe5b38b6a402_R,2eadbe5b38b6a402,R,0,True
2eadbe5b38b6a402_S,2eadbe5b38b6a402,S,0,True
2eaf7d6473c197be_R,2eaf7d6473c197be,R,0,True
2eaf7d6473c197be_S,2eaf7d6473c197be,S,0,True
2ec59119da2cc624_R,2ec59119da2cc624,R,0,True
2ec59119da2cc624_S,2ec59119da2cc624,S,0,True
2f341fdfd4614427_R,2f341fdfd4614427,R,0,True
2f341fdfd4614427_S,2f341fdfd4614427,S,0,True
2f4ae881ac4312a5_R,2f4ae881ac4312a5,R,1,True
2f4ae881ac4312a5_S,2f4ae881ac4312a5,S,1,True
2f8c25f4bd5189de_R,2f8c25f4bd5189de,R,0,True
2f8c25f4bd5189de_S,2f8c25f4bd5189de,S,0,True
2fd90f3bf176722f_R,2fd90f3bf176722f,R,0,True
2fd90f3bf176722f_S,2fd90f3bf176722f,S,0,True
305d0713dce3331b_R,305d0713dce3331b,R,0,True
305d0713dce3331b_S,305d0713dce3331b,S,0,True
314209595db1eba1_R,314209595db1eba1,R,0,True
314209595db1eba1_S,314209595db1eba1,S,0,True
31569c5228889612_R,31569c5228889612,R,1,True
31569c5228889612_S,31569c5228889612,S,1,True
318809a68ef9d9b6_R,318809a68ef9d9b6,R,0,True
318809a68ef9d9b6_S,318809a68ef9d9b6,S,0,True
318994edca44f9cc_R,318994edca44f9cc,R,0,True
318994edca44f9cc_S,318994edca44f9cc,S,0,True
320b7ed011a43f8d_R,320b7ed011a43f8d,R,0,True
320b7ed011a43f8d_S,320b7ed011a43f8d,S,0,True
32290efba3efb95f_R,32290efba3efb95f,R,0,True
32290efba3efb95f_S,32290efba3efb95f,S,0,True
325e8858e1c70242_R,325e8858e1c70242,R,0,True
325e8858e1c70242_S,325e8858e1c70242,S,0,True
328b4e2027432e9a_R,328b4e2027432e9a,R,0,True
328b4e2027432e9a_S,328b4e2027432e9a,S,0,True
32fa9d5a43365d8c_R,32fa9d5a43365d8c,R,1,True
32fa9d5a43365d8c_S,32fa9d5a43365d8c,S,1,True
332ea8b46b142e3d_R,332ea8b46b142e3d,R,1,True
332ea8b46b142e3d_S,332ea8b46b142e3d,S,1,True
33d9ed4f2c3a45ae_R,33d9ed4f2c3a45ae,R,0,True
33d9ed4f2c3a45ae_S,33d9ed4f2c3a45ae,S,0,True
33e7728e60dba558_R,33e7728e60dba558,R,0,True
33e7728e60dba558_S,33e7728e60dba558,S,0,True
3457c52140a0942a_R,3457c52140a0942a,R,1,True
3457c52140a0942a_S,3457c52140a0942a,S,1,True
34918d660b2b4b9c_R,34918d660b2b4b9c,R,0,True
34918d660b2b4b9c_S,34918d660b2b4b9c,S,0,True
34bf6a33a11993e1_R,34bf6a33a11993e1,R,0,True
34bf6a33a11993e1_S,34bf6a33a11993e1,S,0,True
34ccaa3522d0b8cf_R,34ccaa3522d0b8cf,R,1,True
34ccaa3522d0b8cf_S,34ccaa3522d0b8cf,S,1,True
350a28ea72d06638_R,350a28ea72d06638,R,1,True
350a28ea72d06638_S,350a28ea72d06638,S,1,True
351ff6bd847acf3d_R,351ff6bd847acf3d,R,1,True
351ff6bd847acf3d_S,351ff6bd847acf3d,S,1,True
352dd6c21e7cad02_R,352dd6c21e7cad02,R,1,True
352dd6c21e7cad02_S,352dd6c21e7cad02,S,1,True
35695fba445bffe2_R,35695fba445bffe2,R,0,True
35695fba445bffe2_S,35695fba445bffe2,S,0,True
364ffdc4dddb1d58_R,364ffdc4dddb1d58,R,1,True
364ffdc4dddb1d58_S,364ffdc4dddb1d58,S,1,True
36535e3bfaccbf28_R,36535e3bfaccbf28,R,1,True
36535e3bfaccbf28_S,36535e3bfaccbf28,S,1,True
38003bf0d6156815_R,38003bf0d6156815,R,0,True
38003bf0d6156815_S,38003bf0d6156815,S,0,True
38133106079428a2_R,38133106079428a2,R,0,True
38133106079428a2_S,38133106079428a2,S,0,True
38287286b7f542dc_R,38287286b7f542dc,R,0,True
38287286b7f542dc_S,38287286b7f542dc,S,0,True
383538fc9ebe1873_R,383538fc9ebe1873,R,1,True
383538fc9ebe1873_S,383538fc9ebe1873,S,1,True
387a073b62acb6df_R,387a073b62acb6df,R,0,True
387a073b62acb6df_S,387a073b62acb6df,S,0,True
38ffde732a1538b9_R,38ffde732a1538b9,R,0,True
38ffde732a1538b9_S,38ffde732a1538b9,S,0,True
39255a62ef0c8c98_R,39255a62ef0c8c98,R,0,True
39255a62ef0c8c98_S,39255a62ef0c8c98,S,0,True
3add321b5c33beea_R,3add321b5c33beea,R,0,True
3add321b5c33beea_S,3add321b5c33beea,S,0,True
3b02ad94a9bb798b_R,3b02ad94a9bb798b,R,0,True
3b02ad94a9bb798b_S,3b02ad94a9bb798b,S,0,True
3b4575861f3bae37_R,3b4575861f3bae37,R,1,True
3b4575861f3bae37_S,3b4575861f3bae37,S,1,True
3ba83fb8accdd0ac_R,3ba83fb8accdd0ac,R,0,True
3ba83fb8accdd0ac_S,3ba83fb8accdd0ac,S,0,True
3c6a3ebe93e0830e_R,3c6a3ebe93e0830e,R,0,True
3c6a3ebe93e0830e_S,3c6a3ebe93e0830e,S,0,True
